Batch,Total,Accuracy,Corrects,Time,StdDev
292,876,0.965753,282,354672,0.000000
292,876,0.969178,283,352931,0.000000
292,876,0.958904,280,354870,0.000000
292,876,0.964612,845,354157.666667,1066.927520
