Batch,Total,Accuracy,Corrects,Time,StdDev
585,2925,0.897436,525,2499345.0,0.000000
585,2925,0.909402,532,2509136.0,0.000000
585,2925,0.871795,510,2495115.0,0.000000
585,2925,0.883761,517,2489021.0,0.000000
585,2925,0.899145,526,2491557.0,0.000000
585,2925,0.892308,2610,2496834.800000,7897.610094
