Batch,Total,Accuracy,Corrects,Time,StdDev
292,876,0.965753,282,242804,0.000000
292,876,0.969178,283,236716,0.000000
292,876,0.958904,280,234928,0.000000
292,876,0.964612,845,238149.333333,4129.004400
