Batch,Total,Accuracy,Corrects,Time,StdDev
292,876,0.965753,282,222876,0.000000
292,876,0.969178,283,213971,0.000000
292,876,0.958904,280,214568,0.000000
292,876,0.964612,845,217138.333333,4977.922893
