Batch,Total,Accuracy,Corrects,Time,StdDev
1,5,1.000000,1,3716,0.000000
1,5,1.000000,1,3660,0.000000
1,5,1.000000,1,3594,0.000000
1,5,1.000000,1,3950,0.000000
1,5,1.000000,1,3585,0.000000
1,5,1.000000,5,3701.000000,149.006711
