Batch,Total,Accuracy,Corrects,Time,StdDev
64,320,1.000000,64,4724,0.000000
64,320,0.968750,62,4501,0.000000
64,320,0.984375,63,4681,0.000000
64,320,0.953125,61,4642,0.000000
64,320,0.984375,63,4561,0.000000
64,320,0.978125,313,4621.800000,90.342127
